id_student,code_module,code_presentation,final_result,highest_education,age_band,gender,disability,num_of_prev_attempts,date_registration,score_first_assessment,delay_first_assessment,first_assessment_type,clicks_till_course_starts,active_days_before_course_start,clicks_from_course_start_until_first_assessment,active_days_from_course_start_until_first_assessment
11391,AAA,2013J,Pass,HE Qualification,55<=,M,N,0,-159.0,78.0,-1.0,TMA,98.0,1.0,303.0,7.0
28400,AAA,2013J,Pass,HE Qualification,35-55,F,N,0,-53.0,70.0,3.0,TMA,215.0,7.0,278.0,8.0
30268,AAA,2013J,Withdrawn,A Level or Equivalent,35-55,F,Y,0,-92.0,0.0,,TMA,102.0,6.0,179.0,6.0
31604,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-52.0,72.0,-2.0,TMA,169.0,5.0,275.0,11.0
32885,AAA,2013J,Pass,Lower Than A Level,0-35,F,N,0,-176.0,69.0,7.0,TMA,295.0,8.0,204.0,11.0
38053,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-110.0,79.0,0.0,TMA,277.0,9.0,410.0,18.0
45462,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-67.0,70.0,1.0,TMA,180.0,4.0,264.0,7.0
45642,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-29.0,72.0,-1.0,TMA,21.0,3.0,285.0,11.0
52130,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-33.0,72.0,0.0,TMA,6.0,2.0,252.0,12.0
53025,AAA,2013J,Pass,Post Graduate Qualification,55<=,M,N,0,-179.0,71.0,-10.0,TMA,176.0,5.0,320.0,10.0
57506,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-103.0,68.0,-1.0,TMA,139.0,5.0,316.0,14.0
58873,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-47.0,73.0,0.0,TMA,159.0,4.0,241.0,11.0
59185,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-59.0,67.0,-1.0,TMA,110.0,5.0,345.0,10.0
62155,AAA,2013J,Pass,HE Qualification,0-35,F,N,0,-68.0,73.0,-2.0,TMA,251.0,9.0,281.0,6.0
63400,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-67.0,83.0,0.0,TMA,242.0,8.0,340.0,13.0
65002,AAA,2013J,Withdrawn,A Level or Equivalent,0-35,F,N,0,-180.0,66.0,-2.0,TMA,3.0,1.0,91.0,5.0
70464,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-95.0,59.0,0.0,TMA,95.0,2.0,280.0,9.0
71361,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-130.0,82.0,0.0,TMA,204.0,10.0,636.0,15.0
74372,AAA,2013J,Fail,A Level or Equivalent,35-55,M,N,0,-50.0,60.0,3.0,TMA,11.0,1.0,16.0,2.0
75091,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-107.0,67.0,-1.0,TMA,458.0,6.0,349.0,15.0
77367,AAA,2013J,Pass,A Level or Equivalent,0-35,M,N,0,-27.0,73.0,-1.0,TMA,67.0,4.0,205.0,17.0
91265,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-31.0,75.0,2.0,TMA,76.0,3.0,177.0,9.0
94961,AAA,2013J,Withdrawn,Lower Than A Level,35-55,M,N,0,-170.0,74.0,-2.0,TMA,82.0,4.0,152.0,9.0
98094,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-107.0,62.0,-1.0,TMA,477.0,7.0,543.0,17.0
100893,AAA,2013J,Pass,A Level or Equivalent,0-35,M,N,0,-62.0,63.0,-2.0,TMA,27.0,2.0,90.0,8.0
101781,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-103.0,84.0,-3.0,TMA,302.0,7.0,954.0,15.0
102806,AAA,2013J,Pass,A Level or Equivalent,0-35,M,N,0,-107.0,80.0,0.0,TMA,127.0,8.0,317.0,16.0
102952,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-100.0,76.0,0.0,TMA,31.0,2.0,325.0,10.0
104476,AAA,2013J,Pass,Post Graduate Qualification,35-55,M,N,0,-109.0,85.0,11.0,TMA,544.0,10.0,555.0,16.0
106247,AAA,2013J,Withdrawn,HE Qualification,35-55,M,N,0,5.0,67.0,13.0,TMA,0.0,0.0,47.0,3.0
106577,AAA,2013J,Pass,Lower Than A Level,0-35,M,N,0,-107.0,57.0,-1.0,TMA,149.0,6.0,147.0,5.0
110175,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-110.0,66.0,-1.0,TMA,38.0,3.0,156.0,8.0
111717,AAA,2013J,Pass,HE Qualification,35-55,F,N,0,-43.0,80.0,-9.0,TMA,252.0,5.0,329.0,12.0
113295,AAA,2013J,Pass,Lower Than A Level,35-55,M,N,0,-26.0,81.0,0.0,TMA,3.0,2.0,700.0,16.0
114017,AAA,2013J,Pass,Post Graduate Qualification,35-55,F,N,0,-29.0,66.0,-1.0,TMA,28.0,2.0,315.0,8.0
114999,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-68.0,74.0,-1.0,TMA,142.0,6.0,129.0,11.0
116541,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-68.0,76.0,0.0,TMA,0.0,0.0,333.0,12.0
116692,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-32.0,72.0,-3.0,TMA,325.0,6.0,147.0,8.0
118983,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-99.0,73.0,0.0,TMA,8.0,1.0,51.0,6.0
123044,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-82.0,75.0,6.0,TMA,3.0,1.0,467.0,11.0
127582,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-31.0,69.0,7.0,TMA,32.0,4.0,139.0,9.0
129955,AAA,2013J,Withdrawn,A Level or Equivalent,0-35,M,N,0,-197.0,85.0,-1.0,TMA,32.0,2.0,275.0,16.0
132976,AAA,2013J,Pass,Lower Than A Level,35-55,F,N,0,-75.0,63.0,-1.0,TMA,44.0,2.0,99.0,4.0
134143,AAA,2013J,Distinction,A Level or Equivalent,35-55,F,N,0,-96.0,87.0,-1.0,TMA,174.0,6.0,380.0,8.0
135335,AAA,2013J,Withdrawn,Lower Than A Level,0-35,F,N,0,-29.0,0.0,,TMA,2.0,1.0,44.0,6.0
135400,AAA,2013J,Withdrawn,Lower Than A Level,35-55,F,Y,0,-32.0,72.0,0.0,TMA,0.0,0.0,158.0,10.0
137873,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-195.0,72.0,-4.0,TMA,241.0,5.0,493.0,12.0
141355,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-61.0,77.0,0.0,TMA,48.0,3.0,441.0,10.0
141377,AAA,2013J,Withdrawn,A Level or Equivalent,0-35,M,N,0,-110.0,45.0,35.0,TMA,0.0,0.0,7.0,3.0
142326,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-37.0,65.0,-2.0,TMA,142.0,2.0,217.0,7.0
144801,AAA,2013J,Pass,HE Qualification,35-55,F,N,0,-67.0,61.0,0.0,TMA,155.0,5.0,719.0,20.0
145130,AAA,2013J,Pass,HE Qualification,0-35,M,N,0,-36.0,75.0,0.0,TMA,38.0,2.0,177.0,7.0
146188,AAA,2013J,Fail,A Level or Equivalent,0-35,F,Y,0,-132.0,52.0,0.0,TMA,50.0,3.0,79.0,4.0
147756,AAA,2013J,Fail,Lower Than A Level,0-35,M,N,0,-92.0,77.0,-1.0,TMA,89.0,4.0,286.0,16.0
147793,AAA,2013J,Withdrawn,Lower Than A Level,0-35,F,N,0,-138.0,52.0,13.0,TMA,19.0,2.0,0.0,0.0
148993,AAA,2013J,Withdrawn,A Level or Equivalent,35-55,F,Y,0,-174.0,68.0,6.0,TMA,257.0,9.0,410.0,19.0
151358,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-44.0,54.0,-2.0,TMA,0.0,0.0,37.0,5.0
155550,AAA,2013J,Pass,A Level or Equivalent,35-55,M,N,0,-16.0,75.0,0.0,TMA,93.0,4.0,328.0,8.0
155854,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-54.0,82.0,-1.0,TMA,294.0,8.0,537.0,18.0
155984,AAA,2013J,Withdrawn,Lower Than A Level,0-35,F,N,0,-64.0,85.0,0.0,TMA,250.0,6.0,276.0,9.0
157568,AAA,2013J,Pass,A Level or Equivalent,0-35,F,N,0,-52.0,79.0,-1.0,TMA,64.0,3.0,300.0,12.0
159954,AAA,2013J,Withdrawn,A Level or Equivalent,35-55,M,N,0,-46.0,65.0,0.0,TMA,140.0,8.0,326.0,14.0
164259,AAA,2013J,Pass,A Level or Equivalent,0-35,M,N,0,-64.0,82.0,-1.0,TMA,6.0,1.0,78.0,5.0
167906,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-117.0,60.0,0.0,TMA,136.0,3.0,263.0,11.0
168936,AAA,2013J,Pass,Lower Than A Level,35-55,F,N,0,-32.0,76.0,0.0,TMA,0.0,0.0,249.0,9.0
172112,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-50.0,60.0,0.0,TMA,49.0,7.0,240.0,13.0
172797,AAA,2013J,Pass,A Level or Equivalent,35-55,F,N,0,-45.0,60.0,-1.0,TMA,136.0,3.0,100.0,5.0
174782,AAA,2013J,Pass,HE Qualification,55<=,M,N,0,-162.0,83.0,-2.0,TMA,338.0,9.0,845.0,20.0
175392,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-195.0,85.0,-3.0,TMA,486.0,8.0,731.0,19.0
175932,AAA,2013J,Pass,HE Qualification,35-55,M,N,0,-92.0,76.0,-1.0,TMA,284.0,5.0,302.0,13.0
